name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type,out_degree,in_degree,degree
2581567,1000001,1000001,-96.6572663888705,43.543846637208,3,19506,bus_stop,,,,Sioux Area Metro,POINT (-96.6572663888705 43.543846637208),0,,,4.0,4.0,8.0
4211570,1000002,1000002,-96.7511743986509,43.5146648924967,3,1341,bus_stop,,,,Sioux Area Metro,POINT (-96.7511743986509 43.5146648924967),0,,,3.0,3.0,6.0
4211576,1000003,1000003,-96.7212634978653,43.5869366050116,3,1347,bus_stop,,,,Sioux Area Metro,POINT (-96.7212634978653 43.5869366050116),0,,,2.0,2.0,4.0
4211579,1000004,1000004,-96.7862288615177,43.5271949842447,3,1349,bus_stop,,,,Sioux Area Metro,POINT (-96.7862288615177 43.5271949842447),0,,,4.0,4.0,8.0
4211583,1000005,1000005,-96.7908195876765,43.5075285179269,3,1350,bus_stop,,,,Sioux Area Metro,POINT (-96.7908195876765 43.5075285179269),0,,,2.0,2.0,4.0
4211586,1000006,1000006,-96.7859608297914,43.5271713091989,3,1350,bus_stop,,,,Sioux Area Metro,POINT (-96.7859608297914 43.5271713091989),0,,,4.0,4.0,8.0
767253,1000007,1000007,-96.72541594,43.54496938,3,1340,bus_stop,,,,Sioux Area Metro,POINT (-96.72541594 43.54496938),1,,,31.0,31.0,62.0
767267,1000008,1000008,-96.76116285,43.51412007,3,1340,bus_stop,,,,Sioux Area Metro,POINT (-96.76116285 43.51412007),0,,,5.0,5.0,10.0
767270,1000009,1000009,-96.77149721,43.50478562,3,1340,bus_stop,,,,Sioux Area Metro,POINT (-96.77149721 43.50478562),0,,,6.0,6.0,12.0
767275,1000010,1000010,-96.76008883,43.51354805,3,1340,bus_stop,,,,Sioux Area Metro,POINT (-96.76008883 43.51354805),0,,,3.0,3.0,6.0
767281,1000011,1000011,-96.75478842,43.53110358,3,1340,bus_stop,,,,Sioux Area Metro,POINT (-96.75478842 43.53110358),0,,,3.0,3.0,6.0
767285,1000012,1000012,-96.75081225,43.54387231,3,1349,bus_stop,,,,Sioux Area Metro,POINT (-96.75081225 43.54387231),0,,,5.0,5.0,10.0
767297,1000013,1000013,-96.7413173,43.53371131,3,1341,bus_stop,,,,Sioux Area Metro,POINT (-96.7413173 43.53371131),0,,,3.0,3.0,6.0
767315,1000014,1000014,-96.75097796,43.51522748,3,1341,bus_stop,,,,Sioux Area Metro,POINT (-96.75097796 43.51522748),0,,,3.0,3.0,6.0
767323,1000015,1000015,-96.74117857,43.53279905,3,1341,bus_stop,,,,Sioux Area Metro,POINT (-96.74117857 43.53279905),0,,,3.0,3.0,6.0
767336,1000016,1000016,-96.73140022,43.52180887,3,1342,bus_stop,,,,Sioux Area Metro,POINT (-96.73140022 43.52180887),0,,,7.0,7.0,14.0
767344,1000017,1000017,-96.76084281,43.5149081,3,1342,bus_stop,,,,Sioux Area Metro,POINT (-96.76084281 43.5149081),0,,,7.0,7.0,14.0
767352,1000018,1000018,-96.76132772,43.51471843,3,1342,bus_stop,,,,Sioux Area Metro,POINT (-96.76132772 43.51471843),0,,,4.0,4.0,8.0
767360,1000019,1000019,-96.73116238,43.52288231,3,1342,bus_stop,,,,Sioux Area Metro,POINT (-96.73116238 43.52288231),0,,,7.0,7.0,14.0
767372,1000020,1000020,-96.69662536,43.54659391,3,1343,bus_stop,,,,Sioux Area Metro,POINT (-96.69662536 43.54659391),0,,,4.0,4.0,8.0
767376,1000021,1000021,-96.6796523,43.54602754,3,19506,bus_stop,,,,Sioux Area Metro,POINT (-96.6796523 43.54602754),0,,,3.0,3.0,6.0
767377,1000022,1000022,-96.67572167,43.5439822,3,1343,bus_stop,,,,Sioux Area Metro,POINT (-96.67572167 43.5439822),0,,,4.0,4.0,8.0
767383,1000023,1000023,-96.69189496,43.54685758,3,1343,bus_stop,,,,Sioux Area Metro,POINT (-96.69189496 43.54685758),0,,,3.0,3.0,6.0
767394,1000024,1000024,-96.71596984,43.53478111,3,1344,bus_stop,,,,Sioux Area Metro,POINT (-96.71596984 43.53478111),0,,,5.0,5.0,10.0
767403,1000025,1000025,-96.71135996,43.51877129,3,1344,bus_stop,,,,Sioux Area Metro,POINT (-96.71135996 43.51877129),0,,,5.0,5.0,10.0
767408,1000026,1000026,-96.72618099,43.51752069,3,1344,bus_stop,,,,Sioux Area Metro,POINT (-96.72618099 43.51752069),0,,,5.0,5.0,10.0
767415,1000027,1000027,-96.72623317,43.53648506,3,1344,bus_stop,,,,Sioux Area Metro,POINT (-96.72623317 43.53648506),0,,,6.0,6.0,12.0
767426,1000028,1000028,-96.75153272,43.55948369,3,1345,bus_stop,,,,Sioux Area Metro,POINT (-96.75153272 43.55948369),0,,,2.0,2.0,4.0
767432,1000029,1000029,-96.73869821,43.56181547,3,1345,bus_stop,,,,Sioux Area Metro,POINT (-96.73869821 43.56181547),0,,,2.0,2.0,4.0
767440,1000030,1000030,-96.71987319,43.55143457,3,1346,bus_stop,,,,Sioux Area Metro,POINT (-96.71987319 43.55143457),0,,,4.0,4.0,8.0
767448,1000031,1000031,-96.6914997,43.56286459,3,1346,bus_stop,,,,Sioux Area Metro,POINT (-96.6914997 43.56286459),0,,,2.0,2.0,4.0
767456,1000032,1000032,-96.66919964,43.551166,3,1346,bus_stop,,,,Sioux Area Metro,POINT (-96.66919964 43.551166),0,,,2.0,2.0,4.0
767459,1000033,1000033,-96.65974539,43.54168858,3,1346,bus_stop,,,,Sioux Area Metro,POINT (-96.65974539 43.54168858),0,,,5.0,5.0,10.0
767462,1000034,1000034,-96.65484558,43.53743202,3,19506,bus_stop,,,,Sioux Area Metro,POINT (-96.65484558 43.53743202),1,,,3.0,3.0,6.0
767463,1000035,1000035,-96.67139334,43.54428719,3,1346,bus_stop,,,,Sioux Area Metro,POINT (-96.67139334 43.54428719),0,,,4.0,4.0,8.0
767468,1000036,1000036,-96.69195065,43.55129858,3,1346,bus_stop,,,,Sioux Area Metro,POINT (-96.69195065 43.55129858),0,,,3.0,3.0,6.0
767474,1000037,1000037,-96.71108667,43.55485885,3,1346,bus_stop,,,,Sioux Area Metro,POINT (-96.71108667 43.55485885),0,,,4.0,4.0,8.0
767483,1000038,1000038,-96.7312169,43.56380251,3,1347,bus_stop,,,,Sioux Area Metro,POINT (-96.7312169 43.56380251),0,,,1.0,1.0,2.0
767495,1000039,1000039,-96.71150062,43.60114827,3,1347,bus_stop,,,,Sioux Area Metro,POINT (-96.71150062 43.60114827),0,,,1.0,1.0,2.0
767501,1000040,1000040,-96.71157345,43.56149987,3,1347,bus_stop,,,,Sioux Area Metro,POINT (-96.71157345 43.56149987),0,,,2.0,2.0,4.0
767506,1000041,1000041,-96.71387392,43.54675365,3,1343,bus_stop,,,,Sioux Area Metro,POINT (-96.71387392 43.54675365),0,,,6.0,6.0,12.0
767511,1000042,1000042,-96.6984501,43.53659046,3,1348,bus_stop,,,,Sioux Area Metro,POINT (-96.6984501 43.53659046),0,,,4.0,4.0,8.0
767520,1000043,1000043,-96.67152983,43.52961967,3,1348,bus_stop,,,,Sioux Area Metro,POINT (-96.67152983 43.52961967),0,,,3.0,3.0,6.0
767527,1000044,1000044,-96.69215064,43.53671821,3,1348,bus_stop,,,,Sioux Area Metro,POINT (-96.69215064 43.53671821),0,,,3.0,3.0,6.0
767531,1000045,1000045,-96.71235563,43.54144919,3,1348,bus_stop,,,,Sioux Area Metro,POINT (-96.71235563 43.54144919),0,,,5.0,5.0,10.0
767536,1000046,1000046,-96.75097964,43.5440212,3,1349,bus_stop,,,,Sioux Area Metro,POINT (-96.75097964 43.5440212),0,,,5.0,5.0,10.0
767542,1000047,1000047,-96.77465687,43.54407839,3,1349,bus_stop,,,,Sioux Area Metro,POINT (-96.77465687 43.54407839),0,,,3.0,3.0,6.0
767557,1000048,1000048,-96.7914873,43.53719502,3,1349,bus_stop,,,,Sioux Area Metro,POINT (-96.7914873 43.53719502),0,,,3.0,3.0,6.0
767569,1000049,1000049,-96.79079022,43.52795569,3,1349,bus_stop,,,,Sioux Area Metro,POINT (-96.79079022 43.52795569),0,,,3.0,3.0,6.0
767589,1000050,1000050,-96.81073709,43.51453183,3,1350,bus_stop,,,,Sioux Area Metro,POINT (-96.81073709 43.51453183),0,,,3.0,3.0,6.0
767599,1000051,1000051,-96.78621348,43.51439405,3,1350,bus_stop,,,,Sioux Area Metro,POINT (-96.78621348 43.51439405),0,,,3.0,3.0,6.0
767603,1000052,1000052,-96.77264943,43.52054731,3,19552,bus_stop,,,,Sioux Area Metro,POINT (-96.77264943 43.52054731),1,,,4.0,4.0,8.0
767611,1000053,1000053,-96.76058267,43.55845799,3,1351,bus_stop,,,,Sioux Area Metro,POINT (-96.76058267 43.55845799),0,,,2.0,2.0,4.0
767615,1000054,1000054,-96.78011257,43.57303985,3,1351,bus_stop,,,,Sioux Area Metro,POINT (-96.78011257 43.57303985),0,,,1.0,1.0,2.0
767623,1000055,1000055,-96.7808518804779,43.5683772668864,3,1351,bus_stop,,,,Sioux Area Metro,POINT (-96.7808518804779 43.5683772668864),0,,,1.0,1.0,2.0
767625,1000056,1000056,-96.75904209,43.55834837,3,1351,bus_stop,,,,Sioux Area Metro,POINT (-96.75904209 43.55834837),0,,,3.0,3.0,6.0
767634,1000057,1000057,-96.75486843,43.53073202,3,1340,bus_stop,,,,Sioux Area Metro,POINT (-96.75486843 43.53073202),0,,,3.0,3.0,6.0
771294,1000058,1000058,-96.787606,43.602973,3,1351,bus_stop,,,,Sioux Area Metro,POINT (-96.787606 43.602973),0,,,2.0,2.0,4.0
1340.2.767253:1;11;17;20;25;31;39,1500001,1000007,-96.72551594,43.54486938,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1340.2.767253:1;39,1500002,1000007,-96.72551594,43.54486938,3,1340,bus_service_node,1340.2,1340.2:1;39,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1340.2.767267:1;11;17;20;25;31;39,1500003,1000008,-96.76126285,43.51402007,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.76126285000001 43.514020069999994),0,,,2.0,2.0,4.0
1340.2.767270:1;11;17;20;25;31;39,1500004,1000009,-96.77159721,43.50468562,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.77159721000001 43.50468562),0,,,2.0,2.0,4.0
1340.2.767275:1;11;17;20;25;31;39,1500005,1000010,-96.76018883,43.51344805,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.76018883 43.513448049999994),0,,,2.0,2.0,4.0
1340.2.767281:1;11;17;20;25;31;39,1500006,1000011,-96.75488842,43.53100358,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.75488842 43.53100358),0,,,2.0,2.0,4.0
1340.2.767634:1;11;17;20;25;31;39,1500007,1000057,-96.75496843,43.53063202,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.75496843 43.53063202),0,,,2.0,2.0,4.0
1341.2.4211570:1;8;16;22;29;37;45,1500008,1000002,-96.7512743986509,43.51456489249669,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.7512743986509 43.51456489249669),0,,,2.0,2.0,4.0
1341.2.767253:1;45,1500009,1000007,-96.72551594,43.54486938,3,1341,bus_service_node,1341.2,1341.2:1;45,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1341.2.767253:1;8;16;22;29;37;45,1500010,1000007,-96.72551594,43.54486938,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1341.2.767270:1;8;16;22;29;37;45,1500011,1000009,-96.77159721,43.50468562,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.77159721000001 43.50468562),0,,,2.0,2.0,4.0
1341.2.767297:1;8;16;22;29;37;45,1500012,1000013,-96.7414173,43.53361131,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.74141730000001 43.53361131),0,,,2.0,2.0,4.0
1341.2.767315:1;8;16;22;29;37;45,1500013,1000014,-96.75107796,43.51512748,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.75107796 43.51512748),0,,,2.0,2.0,4.0
1341.2.767323:1;8;16;22;29;37;45,1500014,1000015,-96.74127857,43.53269905,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.74127857 43.53269905),0,,,2.0,2.0,4.0
1342.2.767253:1;42,1500015,1000007,-96.72551594,43.54486938,3,1342,bus_service_node,1342.2,1342.2:1;42,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1342.2.767253:1;8;16;20;27;34;42,1500016,1000007,-96.72551594,43.54486938,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1342.2.767270:1;8;16;20;27;34;42,1500017,1000009,-96.77159721,43.50468562,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.77159721000001 43.50468562),0,,,2.0,2.0,4.0
1342.2.767336:1;8;16;20;27;34;42,1500018,1000016,-96.73150022,43.52170887,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.73150022 43.52170887),0,,,2.0,2.0,4.0
1342.2.767344:1;8;16;20;27;34;42,1500019,1000017,-96.76094281,43.5148081,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.76094281 43.514808099999996),0,,,2.0,2.0,4.0
1342.2.767352:1;8;16;20;27;34;42,1500020,1000018,-96.76142772,43.51461843,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.76142772 43.51461843),0,,,2.0,2.0,4.0
1342.2.767360:1;8;16;20;27;34;42,1500021,1000019,-96.73126238,43.52278231,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.73126238 43.52278231),0,,,2.0,2.0,4.0
1343.2.767253:1;24,1500022,1000007,-96.72551594,43.54486938,3,1343,bus_service_node,1343.2,1343.2:1;24,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1343.2.767253:1;7;12;18;23;24,1500023,1000007,-96.72551594,43.54486938,3,1343,bus_service_node,1343.2,1343.2:1;7;12;18;23;24,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1343.2.767372:1;7;12;18;23;24,1500024,1000020,-96.69672536,43.54649391,3,1343,bus_service_node,1343.2,1343.2:1;7;12;18;23;24,,Sioux Area Metro,POINT (-96.69672536 43.546493909999995),0,,,2.0,2.0,4.0
1343.2.767377:1;7;12;18;23;24,1500025,1000022,-96.67582167,43.5438822,3,1343,bus_service_node,1343.2,1343.2:1;7;12;18;23;24,,Sioux Area Metro,POINT (-96.67582167 43.5438822),0,,,2.0,2.0,4.0
1343.2.767383:1;7;12;18;23;24,1500026,1000023,-96.69199496,43.54675758,3,1343,bus_service_node,1343.2,1343.2:1;7;12;18;23;24,,Sioux Area Metro,POINT (-96.69199496 43.54675758),0,,,2.0,2.0,4.0
1343.2.767506:1;7;12;18;23;24,1500027,1000041,-96.71397392,43.54665365,3,1343,bus_service_node,1343.2,1343.2:1;7;12;18;23;24,,Sioux Area Metro,POINT (-96.71397392 43.546653649999996),0,,,2.0,2.0,4.0
1344.2.767253:1;26,1500028,1000007,-96.72551594,43.54486938,3,1344,bus_service_node,1344.2,1344.2:1;26,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1344.2.767253:1;5;11;16;23;26,1500029,1000007,-96.72551594,43.54486938,3,1344,bus_service_node,1344.2,1344.2:1;5;11;16;23;26,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1344.2.767394:1;5;11;16;23;26,1500030,1000024,-96.71606984,43.53468111,3,1344,bus_service_node,1344.2,1344.2:1;5;11;16;23;26,,Sioux Area Metro,POINT (-96.71606984 43.534681109999994),0,,,2.0,2.0,4.0
1344.2.767403:1;5;11;16;23;26,1500031,1000025,-96.71145996,43.51867128999999,3,1344,bus_service_node,1344.2,1344.2:1;5;11;16;23;26,,Sioux Area Metro,POINT (-96.71145996 43.51867128999999),0,,,2.0,2.0,4.0
1344.2.767408:1;5;11;16;23;26,1500032,1000026,-96.72628099,43.51742069,3,1344,bus_service_node,1344.2,1344.2:1;5;11;16;23;26,,Sioux Area Metro,POINT (-96.72628099 43.517420689999994),0,,,2.0,2.0,4.0
1344.2.767415:1;5;11;16;23;26,1500033,1000027,-96.72633317,43.53638505999999,3,1344,bus_service_node,1344.2,1344.2:1;5;11;16;23;26,,Sioux Area Metro,POINT (-96.72633317 43.53638505999999),0,,,2.0,2.0,4.0
1345.2.767253:1;12;17;24,1500034,1000007,-96.72551594,43.54486938,3,1345,bus_service_node,1345.2,1345.2:1;12;17;24,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1345.2.767253:1;24,1500035,1000007,-96.72551594,43.54486938,3,1345,bus_service_node,1345.2,1345.2:1;24,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1345.2.767426:1;12;17;24,1500036,1000028,-96.75163272,43.55938369,3,1345,bus_service_node,1345.2,1345.2:1;12;17;24,,Sioux Area Metro,POINT (-96.75163272 43.55938369),0,,,2.0,2.0,4.0
1345.2.767432:1;12;17;24,1500037,1000029,-96.73879821,43.56171547,3,1345,bus_service_node,1345.2,1345.2:1;12;17;24,,Sioux Area Metro,POINT (-96.73879821 43.561715469999996),0,,,2.0,2.0,4.0
1346.2.767253:1;43,1500038,1000007,-96.72551594,43.54486938,3,1346,bus_service_node,1346.2,1346.2:1;43,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1346.2.767253:1;4;12;20;23;28;33;39;43,1500039,1000007,-96.72551594,43.54486938,3,1346,bus_service_node,1346.2,1346.2:1;4;12;20;23;28;33;39;43,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
