epoch,agency_id,Target,adjusted_transit_revenue,total_subsidy,base_equity_index,agency_base_equity_index,agency_internal_adjusted_equity_index,adjusted_equity_index,equity_improvement,equity_gap,TEC_demand,TEC_price
0,1,0.8,984.7101,107.05191,0.0035917226664513094,0.0035917226664513094,0.0044428036,0.0044428036,-0.000851081,-0.0015694255,-156.94255,0
1,1,0.8,962.4832,78.789536,0.0035917226664513094,0.0035917226664513094,0.004133843,0.004133843,-0.0005421203,-0.0012604648,-126.04648,0.1569425506591797
2,1,0.8,948.6532,55.021378,0.0035917226664513094,0.0035917226664513094,0.0038265772,0.0038265772,-0.00023485464,-0.0009531991,-95.31991,0.2829890289306641
3,1,0.8,941.20056,45.2991,0.0035917226664513094,0.0035917226664513094,0.0035354793,0.0035354793,5.624327e-05,-0.0006621012,-66.21012,0.3783089370727539
4,1,0.8,937.263,62.102295,0.0035917226664513094,0.0035917226664513094,0.0033780783,0.0033780783,0.00021364423,-0.00050470023,-50.470024,0.44451905822753907
5,1,0.8,934.9216,69.11824,0.0035917226664513094,0.0035917226664513094,0.0032998957,0.0032998957,0.0002918269,-0.00042651757,-42.651756,0.4949890823364258
6,1,0.8,933.3816,85.86647,0.0035917226664513094,0.0035917226664513094,0.0031751413,0.0031751413,0.0004165813,-0.00030176318,-30.17632,0.5376408386230469
7,1,0.8,932.51245,91.88193,0.0035917226664513094,0.0035917226664513094,0.003125405,0.003125405,0.00046631764,-0.00025202683,-25.202682,0.5678171577453613
8,1,0.8,931.9251,97.94508,0.0035917226664513094,0.0035917226664513094,0.0030767974,0.0030767974,0.0005149252,-0.00020341924,-20.341925,0.5930198402404785
9,1,0.8,931.5398,102.97821,0.0035917226664513094,0.0035917226664513094,0.0030526072,0.0030526072,0.0005391154,-0.00017922907,-17.922907,0.6133617649078369
10,1,0.8,931.2552,107.677826,0.0035917226664513094,0.0035917226664513094,0.003027644,0.003027644,0.00056407857,-0.0001542659,-15.42659,0.6312846717834473
11,1,0.8,931.0764,113.84886,0.0035917226664513094,0.0035917226664513094,0.0029801894,0.0029801894,0.0006115332,-0.00010681129,-10.681129,0.6467112617492676
12,1,0.8,930.96783,115.16066,0.0035917226664513094,0.0035917226664513094,0.0029555615,0.0029555615,0.0006361611,-8.21834e-05,-8.21834,0.6573923912048341
13,1,0.8,930.904,120.26453,0.0035917226664513094,0.0035917226664513094,0.0029318128,0.0029318128,0.0006599098,-5.843467e-05,-5.843467,0.665610731124878
14,1,0.8,930.86584,120.37619,0.0035917226664513094,0.0035917226664513094,0.0029312707,0.0029312707,0.0006604518,-5.789264e-05,-5.789264,0.6714541983604432
15,1,0.8,930.82007,121.5123,0.0035917226664513094,0.0035917226664513094,0.002908744,0.002908744,0.00068297866,-3.536581e-05,-3.536581,0.6772434625625611
16,1,0.8,930.809,120.357895,0.0035917226664513094,0.0035917226664513094,0.0029317513,0.0029317513,0.00065997127,-5.8373204e-05,-5.8373203,0.6807800436019897
17,1,0.8,930.77905,120.37474,0.0035917226664513094,0.0035917226664513094,0.0029316023,0.0029316023,0.0006601203,-5.8224192e-05,-5.822419,0.6866173639297485
18,1,0.8,930.76764,126.67016,0.0035917226664513094,0.0035917226664513094,0.002885284,0.002885284,0.0007064387,-1.1905795e-05,-1.1905795,0.6924397830963134
19,1,0.8,930.76196,121.56849,0.0035917226664513094,0.0035917226664513094,0.0029087253,0.0029087253,0.0006829973,-3.5347184e-05,-3.5347185,0.6936303626298903
20,1,0.8,930.7602,126.70115,0.0035917226664513094,0.0035917226664513094,0.0028853342,0.0028853342,0.0007063884,-1.1956086e-05,-1.1956086,0.697165081143379
21,1,0.8,930.74677,121.80226,0.0035917226664513094,0.0035917226664513094,0.0029081702,0.0029081702,0.00068355235,-3.4792116e-05,-3.4792116,0.6983606897592542
22,1,0.8,930.7543,126.94101,0.0035917226664513094,0.0035917226664513094,0.0028847493,0.0028847493,0.00070697325,-1.1371216e-05,-1.1371216,0.7018399013280866
23,1,0.8,930.7473,126.784035,0.0035917226664513094,0.0035917226664513094,0.0028876644,0.0028876644,0.0007040582,-1.42862555e-05,-1.4286256,0.702977022886276
24,1,0.8,930.7323,127.96546,0.0035917226664513094,0.0035917226664513094,0.0028651431,0.0028651431,0.00072657946,8.234987e-06,0.8234987,0.7044056484699246
25,1,0.8,930.74066,127.961975,0.0035917226664513094,0.0035917226664513094,0.0028653797,0.0028653797,0.0007263429,7.998431e-06,0.79984313,0.7035821497440334
26,1,0.8,930.7484,126.77901,0.0035917226664513094,0.0035917226664513094,0.0028880686,0.0028880686,0.000703654,-1.46904495e-05,-1.4690449,0.7027823066115375
27,1,0.8,930.7425,127.95906,0.0035917226664513094,0.0035917226664513094,0.0028654207,0.0028654207,0.0007263019,7.957453e-06,0.7957453,0.7042513515353198
28,1,0.8,930.74854,126.776474,0.0035917226664513094,0.0035917226664513094,0.0028881077,0.0028881077,0.0007036149,-1.4729565e-05,-1.4729565,0.7034556062221522
29,1,0.8,930.7426,127.958496,0.0035917226664513094,0.0035917226664513094,0.002865469,0.002865469,0.0007262535,7.909024e-06,0.79090244,0.7049285627603525
30,1,0.8,930.7466,126.776306,0.0035917226664513094,0.0035917226664513094,0.0028881598,0.0028881598,0.00070356275,-1.4781719e-05,-1.478172,0.7041376603245729
31,1,0.8,930.74316,127.959656,0.0035917226664513094,0.0035917226664513094,0.002865497,0.002865497,0.00072622555,7.8810845e-06,0.78810847,0.7056158322691911
32,1,0.8,930.74615,126.77793,0.0035917226664513094,0.0035917226664513094,0.0028881766,0.0028881766,0.000703546,-1.4798483e-05,-1.4798483,0.7048277238011353
33,1,0.8,930.74225,127.96228,0.0035917226664513094,0.0035917226664513094,0.002865538,0.002865538,0.0007261846,7.840106e-06,0.78401065,0.7063075720667832
34,1,0.8,930.7431,126.78108,0.0035917226664513094,0.0035917226664513094,0.0028882194,0.0028882194,0.00070350314,-1.4841324e-05,-1.4841324,0.7055235614180557
35,1,0.8,930.7415,127.96619,0.0035917226664513094,0.0035917226664513094,0.002865564,0.002865564,0.0007261585,7.814029e-06,0.78140295,0.7070076938271515
36,1,0.8,930.74756,126.7856,0.0035917226664513094,0.0035917226664513094,0.0028881468,0.0028881468,0.0007035758,-1.4768681e-05,-1.476868,0.7062262908816329
37,1,0.8,930.7363,127.97128,0.0035917226664513094,0.0035917226664513094,0.0028656442,0.0028656442,0.0007260784,7.7339355e-06,0.7733936,0.707703158915042
38,1,0.8,930.74316,126.79142,0.0035917226664513094,0.0035917226664513094,0.0028881878,0.0028881878,0.0007035348,-1.4809659e-05,-1.4809659,0.7069297653436651
39,1,0.8,930.7414,127.97757,0.0035917226664513094,0.0035917226664513094,0.0028655715,0.0028655715,0.00072615105,7.806579e-06,0.7806579,0.7084107311964025
40,1,0.8,930.7399,126.79859,0.0035917226664513094,0.0035917226664513094,0.0028882027,0.0028882027,0.0007035199,-1.482456e-05,-1.482456,0.7076300733089437
41,1,0.8,930.7395,127.98512,0.0035917226664513094,0.0035917226664513094,0.0028655864,0.0028655864,0.00072613615,7.7916775e-06,0.7791678,0.7091125292778004
42,1,0.8,930.7463,126.80725,0.0035917226664513094,0.0035917226664513094,0.0028880704,0.0028880704,0.00070365216,-1.4692312e-05,-1.4692312,0.708333361506461
43,1,0.8,930.741,127.99412,0.0035917226664513094,0.0035917226664513094,0.0028655417,0.0028655417,0.00072618085,7.836381e-06,0.7836381,0.7098025927543629
44,1,0.8,930.744,126.81763,0.0035917226664513094,0.0035917226664513094,0.00288805,0.00288805,0.00070367265,-1.4671823e-05,-1.4671823,0.7090189546346652
45,1,0.8,930.74445,128.00476,0.0035917226664513094,0.0035917226664513094,0.0028654616,0.0028654616,0.00072626094,7.916475e-06,0.7916475,0.7104861369132983
46,1,0.8,930.74097,126.83011,0.0035917226664513094,0.0035917226664513094,0.0028880239,0.0028880239,0.0007036987,-1.4645746e-05,-1.4645746,0.709694489419459
47,1,0.8,930.74255,128.01746,0.0035917226664513094,0.0035917226664513094,0.0028654374,0.0028654374,0.00072628516,7.940689e-06,0.79406893,0.7111590639948832
48,1,0.8,930.743,126.84537,0.0035917226664513094,0.0035917226664513094,0.0028879065,0.0028879065,0.00070381607,-1.4528399e-05,-1.45284,0.7103649950623498
49,1,0.8,930.7448,128.03291,0.0035917226664513094,0.0035917226664513094,0.0028653368,0.0028653368,0.00072638574,8.041272e-06,0.8041272,0.7118178350329385
50,1,0.8,930.7387,126.86452,0.0035917226664513094,0.0035917226664513094,0.0028878506,0.0028878506,0.00070387195,-1.447252e-05,-1.447252,0.7110137078165993
51,1,0.8,930.7425,128.05226,0.0035917226664513094,0.0035917226664513094,0.0028652698,0.0028652698,0.0007264528,8.108327e-06,0.81083274,0.7124609598517403
52,1,0.8,930.736,126.88966,0.0035917226664513094,0.0035917226664513094,0.0028877277,0.0028877277,0.0007039949,-1.4349585e-05,-1.4349586,0.7116501271128639
53,1,0.8,930.74725,128.0776,0.0035917226664513094,0.0035917226664513094,0.002865063,0.002865063,0.00072665955,8.315081e-06,0.8315081,0.7130850856900199
54,1,0.8,930.7424,128.11319,0.0035917226664513094,0.0035917226664513094,0.0028648973,0.0028648973,0.0007268253,8.480856e-06,0.84808564,0.7122535775899871
55,1,0.8,930.73724,126.94594,0.0035917226664513094,0.0035917226664513094,0.0028873794,0.0028873794,0.0007043432,-1.4001271e-05,-1.400127,0.7114054919481261
56,1,0.8,930.74255,126.97189,0.0035917226664513094,0.0035917226664513094,0.0028871242,0.0028871242,0.0007045984,-1.3746088e-05,-1.3746089,0.7128056190013868
57,1,0.8,930.7464,128.16019,0.0035917226664513094,0.0035917226664513094,0.0028645955,0.0028645955,0.0007271271,8.782605e-06,0.8782605,0.7141802278757078
58,1,0.8,930.73596,127.065674,0.0035917226664513094,0.0035917226664513094,0.002886571,0.002886571,0.0007051516,-1.3192883e-05,-1.3192883,0.7133019673824292
59,1,0.8,930.7499,128.25438,0.0035917226664513094,0.0035917226664513094,0.0028639026,0.0028639026,0.00072782,9.475509e-06,0.9475509,0.7146212556362134
60,1,0.8,930.73975,127.17259,0.0035917226664513094,0.0035917226664513094,0.0028857775,0.0028857775,0.0007059451,-1.2399396e-05,-1.2399396,0.7136737047433834
61,1,0.8,930.748,128.36177,0.0035917226664513094,0.0035917226664513094,0.0028631967,0.0028631967,0.0007285259,1.0181451e-05,1.0181451,0.7149136443138103
62,1,0.8,930.73926,127.25192,0.0035917226664513094,0.0035917226664513094,0.0028852466,0.0028852466,0.0007064759,-1.1868542e-05,-1.1868542,0.7138954992294292
63,1,0.8,930.7505,128.44139,0.0035917226664513094,0.0035917226664513094,0.0028626248,0.0028626248,0.00072909775,1.0753283e-05,1.0753284,0.7150823534727077
64,1,0.8,930.7391,127.31475,0.0035917226664513094,0.0035917226664513094,0.0028848331,0.0028848331,0.00070688943,-1.1455035e-05,-1.1455035,0.7140070251226405
65,1,0.8,930.74774,128.50441,0.0035917226664513094,0.0035917226664513094,0.0028622467,0.0028622467,0.00072947587,1.11314e-05,1.11314,0.715152528643606
66,1,0.8,930.74335,127.3654,0.0035917226664513094,0.0035917226664513094,0.0028844457,0.0028844457,0.00070727686,-1.1067605e-05,-1.1067605,0.7140393886566141
67,1,0.8,930.7448,128.55515,0.0035917226664513094,0.0035917226664513094,0.0028619524,0.0028619524,0.00072977017,1.1425698e-05,1.1425698,0.7151461491584756
68,1,0.8,930.73627,127.406975,0.0035917226664513094,0.0035917226664513094,0.0028842818,0.0028842818,0.0007074408,-1.0903692e-05,-1.0903692,0.7140035793781259
69,1,0.8,930.74475,128.59677,0.0035917226664513094,0.0035917226664513094,0.0028616898,0.0028616898,0.0007300328,1.1688331e-05,1.1688331,0.7150939486026742
70,1,0.8,930.7413,127.44206,0.0035917226664513094,0.0035917226664513094,0.002883995,0.002883995,0.0007077276,-1.06168445e-05,-1.0616845,0.7139251154661156
71,1,0.8,930.7467,128.63185,0.0035917226664513094,0.0035917226664513094,0.0028614402,0.0028614402,0.0007302824,1.1937926e-05,1.1937926,0.7149867999553657
72,1,0.8,930.73676,127.47193,0.0035917226664513094,0.0035917226664513094,0.0028838813,0.0028838813,0.00070784125,-1.0503223e-05,-1.0503223,0.7137930073738075
73,1,0.8,930.75287,128.66168,0.0035917226664513094,0.0035917226664513094,0.002861172,0.002861172,0.0007305506,1.22061465e-05,1.2206147,0.7148433296680426
74,1,0.8,930.73737,127.49771,0.0035917226664513094,0.0035917226664513094,0.0028837249,0.0028837249,0.0007079977,-1.0346761e-05,-1.0346761,0.7136227149963354
75,1,0.8,930.74634,128.68736,0.0035917226664513094,0.0035917226664513094,0.0028611068,0.0028611068,0.0007306158,1.2271339e-05,1.2271339,0.7146573910713171
76,1,0.8,930.74304,127.520096,0.0035917226664513094,0.0035917226664513094,0.00288352,0.00288352,0.0007082026,-1.014187e-05,-1.014187,0.7134302572011922
77,1,0.8,930.74915,128.70966,0.0035917226664513094,0.0035917226664513094,0.0028609373,0.0028609373,0.0007307853,1.244084e-05,1.244084,0.7144444441795323
78,1,0.8,930.7416,127.539734,0.0035917226664513094,0.0035917226664513094,0.0028834343,0.0028834343,0.0007082883,-1.0056188e-05,-1.0056188,0.7132003601789448
79,1,0.8,930.7474,128.72917,0.0035917226664513094,0.0035917226664513094,0.0028608497,0.0028608497,0.00073087285,1.2528384e-05,1.2528384,0.7142059789895985
80,1,0.8,930.7399,127.55711,0.0035917226664513094,0.0035917226664513094,0.002883371,0.002883371,0.0007083516,-9.992858e-06,-0.9992858,0.7129531406164142
81,1,0.8,930.74805,128.74641,0.0035917226664513094,0.0035917226664513094,0.0028607454,0.0028607454,0.00073097716,1.2632692e-05,1.2632692,0.7139524264335605
82,1,0.8,930.743,127.5726,0.0035917226664513094,0.0035917226664513094,0.0028832518,0.0028832518,0.0007084708,-9.873649e-06,-0.9873649,0.7126891572475406
83,1,0.8,930.7492,128.76173,0.0035917226664513094,0.0035917226664513094,0.0028606448,0.0028606448,0.00073107774,1.2733275e-05,1.2733275,0.7136765221357317
84,1,0.8,930.7391,127.58649,0.0035917226664513094,0.0035917226664513094,0.0028832424,0.0028832424,0.00070848013,-9.864336e-06,-0.98643357,0.712403194665906
85,1,0.8,930.74475,128.77542,0.0035917226664513094,0.0035917226664513094,0.0028606355,0.0028606355,0.00073108706,1.2742588e-05,1.2742589,0.7133896282315225
86,1,0.8,930.7424,127.59894,0.0035917226664513094,0.0035917226664513094,0.0028831419,0.0028831419,0.0007085807,-9.763753e-06,-0.9763753,0.7121153693795175
87,1,0.8,930.74713,128.7877,0.0035917226664513094,0.0035917226664513094,0.0028605368,0.0028605368,0.0007311858,1.28413085e-05,1.2841308,0.7130917446613282
88,1,0.8,930.737,127.6102,0.0035917226664513094,0.0035917226664513094,0.0028831717,0.0028831717,0.0007085509,-9.793555e-06,-0.9793555,0.7118076138496369
89,1,0.8,930.7413,128.79875,0.0035917226664513094,0.0035917226664513094,0.0028605666,0.0028605666,0.000731156,1.2811506e-05,1.2811506,0.7127869693636864
90,1,0.8,930.74365,127.620346,0.0035917226664513094,0.0035917226664513094,0.0028830376,0.0028830376,0.000708685,-9.659445e-06,-0.96594447,0.7115058187842338
91,1,0.8,930.74536,128.80867,0.0035917226664513094,0.0035917226664513094,0.0028604623,0.0028604623,0.0007312603,1.2915814e-05,1.2915814,0.7124717632532088
92,1,0.8,930.74615,127.62955,0.0035917226664513094,0.0035917226664513094,0.0028829724,0.0028829724,0.0007087502,-9.594252e-06,-0.9594252,0.7111801818609206
93,1,0.8,930.7439,128.81763,0.0035917226664513094,0.0035917226664513094,0.0028604418,0.0028604418,0.0007312808,1.2936303e-05,1.2936304,0.7121396070718733
94,1,0.8,930.74097,127.63782,0.0035917226664513094,0.0035917226664513094,0.0028830208,0.0028830208,0.0007087018,-9.642681e-06,-0.9642681,0.7108459767103162
95,1,0.8,930.73816,128.82562,0.0035917226664513094,0.0035917226664513094,0.0028604865,0.0028604865,0.00073123607,1.28916e-05,1.28916,0.711810244798657
96,1,0.8,930.7449,127.64526,0.0035917226664513094,0.0035917226664513094,0.0028829444,0.0028829444,0.00070877816,-9.566313e-06,-0.95663124,0.7105210847854581
97,1,0.8,930.7456,128.8328,0.0035917226664513094,0.0035917226664513094,0.0028603543,0.0028603543,0.0007313683,1.3023848e-05,1.3023847,0.7114777160286869
98,1,0.8,930.7466,127.65194,0.0035917226664513094,0.0035917226664513094,0.0028829053,0.0028829053,0.0007088173,-9.527197e-06,-0.9527197,0.7101753312945331
99,1,0.8,930.747,128.83916,0.0035917226664513094,0.0035917226664513094,0.0028603077,0.0028603077,0.0007314149,1.3070414e-05,1.3070414,0.7111280509829486
